"Moinho (Estação C.F.) (MES)","21:46","21:34","21:52","21:40","21:58","22:16","22:04","22:22","22:10","22:28","22:45","22:34","22:52","22:40","22:58","23:15","23:04","23:22","23:10","23:28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cabine Velha (CBV)","21:47","21:35","21:53","21:41","21:59","22:17","22:05","22:23","22:11","22:29","22:46","22:35","22:53","22:41","22:59","23:16","23:05","23:23","23:11","23:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Praia da Pontinha (PPT)","21:47","21:35","21:53","21:41","21:59","22:17","22:05","22:23","22:11","22:29","22:46","22:35","22:53","22:41","22:59","23:16","23:05","23:23","23:11","23:29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alto da Bica (ALB)","21:48","21:36","21:54","21:42","22:00","22:18","22:06","22:24","22:12","22:30","22:47","22:36","22:54","22:42","23:00","23:17","23:06","23:24","23:12","23:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Herdade do Moinho (HMO)","21:49","21:37","21:55","21:43","22:01","22:19","22:07","22:25","22:13","22:31","22:48","22:37","22:55","22:43","23:01","23:18","23:07","23:25","23:13","23:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Travessa da Cruzinha (TVC)","21:50","21:38","21:56","21:44","22:02","22:20","22:08","22:26","22:14","22:32","22:49","22:38","22:56","22:44","23:02","23:19","23:08","23:26","23:14","23:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua Adriano Nery (RAN)","21:50","21:38","21:56","21:44","22:02","22:20","22:08","22:26","22:14","22:32","22:49","22:38","22:56","22:44","23:02","23:19","23:08","23:26","23:14","23:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barreto (BRT1)","21:51","21:39","21:57","21:45","22:03","22:21","22:09","22:27","22:15","22:33","22:50","22:39","22:57","22:45","23:03","23:20","23:09","23:27","23:15","23:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua Gavião Lopes (N) (RGL1)","21:52","21:40","21:58","21:46","22:04","22:22","22:10","22:28","22:16","22:34","22:51","22:40","22:58","22:46","23:04","23:21","23:10","23:28","23:16","23:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oficinas Municipais (OFM)","21:52","21:40","21:58","21:46","22:04","22:22","22:10","22:28","22:16","22:34","22:51","22:40","22:58","22:46","23:04","23:21","23:10","23:28","23:16","23:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombeiros Voluntários (BV)","21:53","21:41","21:59","21:47","22:05","22:22","22:11","22:29","22:17","22:35","22:52","22:41","22:59","22:47","23:05","23:22","23:11","23:29","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
